dataset,num_speakers,noise_level,method,mean_wder,std_wder,mean_cpwer,mean_segment_error,mean_speaker_count_mae,parse_ok_rate,n_cases,n_words
ami_sdm,4,high,llm_no_profile,0.5963582799400385,0.16046934159221457,0.7712768562587785,0.5666666666666667,0.5,1.0,6,592
ami_sdm,4,high,llm_profile,0.5963582799400385,0.16046934159221457,0.7712768562587785,0.5666666666666667,0.5,1.0,6,592
ami_sdm,4,high,noisy_labels,0.5963582799400385,0.16046934159221457,0.7712768562587785,0.5666666666666667,0.5,1.0,6,592
ami_sdm,4,high,continuity_smoothing,0.6208542577326259,0.14784821848217342,0.8144875992870398,0.5833333333333334,0.6666666666666666,1.0,6,592
ami_sdm,4,low,continuity_smoothing,0.29636077250170983,0.2004189271501987,0.47794520212488695,0.26666666666666666,0.5,1.0,6,592
ami_sdm,4,low,llm_no_profile,0.3067103695813021,0.11958899244642118,0.511807089719976,0.26666666666666666,0.6666666666666666,1.0,6,592
ami_sdm,4,low,llm_profile,0.3067103695813021,0.11958899244642118,0.511807089719976,0.26666666666666666,0.6666666666666666,1.0,6,592
ami_sdm,4,low,noisy_labels,0.3067103695813021,0.11958899244642118,0.511807089719976,0.26666666666666666,0.6666666666666666,1.0,6,592
ami_sdm,4,medium,llm_no_profile,0.4265033207918125,0.10972882089455278,0.6065393011381824,0.45,0.6666666666666666,1.0,6,592
ami_sdm,4,medium,llm_profile,0.4265033207918125,0.10972882089455278,0.6065393011381824,0.45,0.6666666666666666,1.0,6,592
ami_sdm,4,medium,noisy_labels,0.4265033207918125,0.10972882089455278,0.6065393011381824,0.45,0.6666666666666666,1.0,6,592
ami_sdm,4,medium,continuity_smoothing,0.44281691828420805,0.16111035487479852,0.5866678998287567,0.45,0.6666666666666666,1.0,6,592
simsamu,2,high,llm_no_profile,0.4488925713361895,0.24461572616550364,0.5018187697033384,0.5,0.0,1.0,4,456
simsamu,2,high,llm_profile,0.45661223829924824,0.2669672623521093,0.4617452105731146,0.475,0.0,1.0,4,456
simsamu,2,high,continuity_smoothing,0.5231590008891763,0.13808125046570244,0.6400250586048015,0.5,0.0,1.0,4,456
simsamu,2,high,noisy_labels,0.5303532454934928,0.151785193439341,0.625414275321316,0.525,0.0,1.0,4,456
simsamu,2,low,llm_no_profile,0.09318163446770673,0.08389215967883626,0.18636326893541347,0.07500000000000001,0.0,1.0,4,456
simsamu,2,low,llm_profile,0.10160860075984157,0.0723047729078338,0.20321720151968314,0.1,0.0,1.0,4,456
simsamu,2,low,noisy_labels,0.10160860075984157,0.0723047729078338,0.20321720151968314,0.1,0.0,1.0,4,456
simsamu,2,low,continuity_smoothing,0.4297550723466171,0.02717997440637964,0.6660940910193194,0.42500000000000004,0.0,1.0,4,456
simsamu,2,medium,llm_no_profile,0.2768167488481125,0.14091865011244967,0.38268935413466976,0.3,0.0,1.0,4,456
simsamu,2,medium,noisy_labels,0.2992886589604721,0.058635529078536926,0.46415002829197316,0.35,0.0,1.0,4,456
simsamu,2,medium,llm_profile,0.3028857812626303,0.06270140306706504,0.4713442728962897,0.35,0.0,1.0,4,456
simsamu,2,medium,continuity_smoothing,0.3226699539245008,0.0825340464627388,0.5877859510144693,0.4,0.0,1.0,4,456
